q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.039995,0.401437,0.217987,0.004288,0.979590,0.011472,0.587039,0.683232,3.262459,11.604001,-415.728520,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
0.040573,0.409361,0.219356,0.004394,0.976771,0.010858,0.577609,0.711188,3.231556,11.423149,-414.698990,2.385861,9.000000,
