q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034908,0.188645,0.289178,0.139942,0.985069,0.006233,0.572167,1.842145,-7732.089019,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
0.034911,0.187239,0.289672,0.139920,0.981103,0.006202,0.571321,1.842449,-7731.319656,2.074383,6.000000,
