q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
0.049267,0.990229,0.140091,0.321466,0.033851,0.004592,-214.529609,2.952248,2.000000,
